question_id,query,expected_answer,expected_source,technique,rank,store_score,cosine_sim,chunk_len,source_file,retrieval_latency_ms,preview
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Token,1,0.6787,0.6386,1021,RIR2613.pdf,10.33,"Railroad Investigation Report  RIR-26-13  1  Southeastern Pennsylvania Transportation  Authority Pantograph Separation From  Trolley Car Location  Springfield,..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Token,2,0.6148,0.6065,1109,RIR2613.pdf,10.33,"and an operator onboard in Springfield,  Pennsylvania, when its pantograph became entangled with the overhead catenary  system (OCS).1 A portion of the pantogra..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Token,3,0.6065,0.5983,1180,RIR2613.pdf,10.33,"new OCS program and active, ongoing  field oversight of OCS related activities. SEPTA’s new formal OCS inspection and  maintenance program was approved by PennD..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Token,4,0.598,0.5934,1203,RIR2613.pdf,10.33,"SEPTA’s maintenance records showed that on 47  occasions in the 14 months preceding the accident, a trolley experienced pantograph  damage that required it to b..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Token,5,0.5931,0.563,1117,RIR2613.pdf,10.33,pantograph and contact wires and causing  portions of the pantograph assembly to penetrate the trolley’s passenger compartment.   A trolley’s pantograph usually...
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Semantic,1,0.6833,0.6565,1108,RIR2613.pdf,9.71,"Railroad Investigation Report  RIR-26-13  1  Southeastern Pennsylvania Transportation  Authority Pantograph Separation From  Trolley Car Location  Springfield,..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Semantic,2,0.629,0.6095,993,RIR2613.pdf,9.71,The trolley operator and three passengers requested  transport to a hospital for minor injuries. SEPTA estimated damages to be about  1 (a) Visit ntsb.gov to fi...
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Semantic,3,0.5476,0.5226,7037,RIR2613.pdf,9.71,"Figure 1: Trolley 111 postaccident (left) and passenger compartment of Trolley 111 (right).   Trolley 111, a single light rail vehicle, was traveling about 38 m..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Semantic,4,0.4628,0.4422,8563,RIR2613.pdf,9.71,Railroad Investigation Report  RIR-26-13  8    traction power maintenance department. Employees became accustomed to frequent  incidents of pantograph damage an...
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Semantic,5,0.4596,0.4767,6748,RIR2613.pdf,9.71,AC means alternating current; DC means direct current.  9 A catenary maintenance car is a specialized rail-bound vehicle used to inspect and repair overhead  ca...
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Sentence-Window,1,0.7316,0.77,567,RIR2613.pdf,11.37,"Probable Cause  The National Transportation Safety Board determines that the probable cause of  the September 25, 2025, accident was Southeastern Pennsylvania T..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Sentence-Window,2,0.6856,0.6563,1092,RIR2613.pdf,11.37,"Railroad Investigation Report  RIR-26-13  1  Southeastern Pennsylvania Transportation  Authority Pantograph Separation From  Trolley Car Location  Springfield,..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Sentence-Window,3,0.6065,0.5843,280,RIR2613.pdf,11.37,"For over a year before the accident, SEPTA’s vehicle maintenance department  had been tracking an uptick in incidents on the D Line involving trolley pantograph..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Sentence-Window,4,0.586,0.569,253,RIR2613.pdf,11.37,"Analysis  Trolley 111’s pantograph became entangled with sagging contact wires at the  Scenic Road crossover, damaging the pantograph and contact wires and caus..."
Q1,"What caused SEPTA Trolley 111's pantograph to become entangled with the overhead catenary system on September 25, 2025?","The pantograph became entangled with sagging contact wires at the Scenic Road crossover. The contact wires were likely sagging because of inadequate tension or improper configuration, creating conditions in which the pantograph and wires could bounce and become entangled.",RIR2613.pdf,Sentence-Window,5,0.5741,0.5515,281,RIR2613.pdf,11.37,"SEPTA’s maintenance records showed that on 47  occasions in the 14 months preceding the accident, a trolley experienced pantograph  damage that required it to b..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Token,1,0.5878,0.5819,1203,RIR2613.pdf,9.72,"SEPTA’s maintenance records showed that on 47  occasions in the 14 months preceding the accident, a trolley experienced pantograph  damage that required it to b..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Token,2,0.5742,0.5604,1233,RIR2613.pdf,9.72,Inspection History and Pantograph Incident Trends  SEPTA’s traction power maintenance department had performed annual walking  inspections of the D Line OCS. In...
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Token,3,0.4998,0.5104,1021,RIR2613.pdf,9.72,"Railroad Investigation Report  RIR-26-13  1  Southeastern Pennsylvania Transportation  Authority Pantograph Separation From  Trolley Car Location  Springfield,..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Token,4,0.4808,0.4842,1175,RIR2613.pdf,9.72,"normalized and, therefore, did not raise sufficient concerns within the    10 See APTA Standard APTA-RT-FS-S-006-02, Traction Electrification Distribution Syste..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Token,5,0.4802,0.4671,1195,RIR2613.pdf,9.72,"(otherwise known as a practical or procedural  drift)—a process by which a lack of controls allows a slow, gradual drift toward  progressively unsafe practices..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Semantic,1,0.4983,0.5074,1108,RIR2613.pdf,8.91,"Railroad Investigation Report  RIR-26-13  1  Southeastern Pennsylvania Transportation  Authority Pantograph Separation From  Trolley Car Location  Springfield,..."
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Semantic,2,0.4738,0.4669,8563,RIR2613.pdf,8.91,Railroad Investigation Report  RIR-26-13  8    traction power maintenance department. Employees became accustomed to frequent  incidents of pantograph damage an...
Q2,"How many pantograph damage incidents occurred on the D Line in the 14 months before the September 25, 2025 accident, and how did this compare with the previous long-term average?","In the 14 months before the accident, SEPTA recorded 47 occasions when a trolley experienced pantograph damage requiring removal from service for repairs. Before that period, the D Line fleet averaged about 10 such occurrences per year.",RIR2613.pdf,Semantic,3,0.4359,0.4212,993,RIR2613.pdf,8.91,The trolley operator and three passengers requested  transport to a hospital for minor injuries. SEPTA estimated damages to be about  1 (a) Visit ntsb.gov to fi...
